" Estimate"," Std. Error"," t value","Pr(>|t|)","Parameter"
0.000613175742625243,0.00318646729118881,0.192431205655489,0.847404450568387,"mu"
-0.40347622357615,0.0533442565205612,-7.56363008678605,3.93018950717305e-14,"omega"
0.224825248163772,0.105421549035822,2.1326308541281,0.0329550202017901,"alpha1"
0.708939255280886,0.0544310233676888,13.0245439350259,0,"beta1"
-0.370152905889497,0.0944832866433722,-3.91765484711218,8.94146084398084e-05,"gamma1"
0.109447039071675,0.0324522683941278,3.37255435405801,0.000744743852962637,"vxreg1"
0.970368382750857,2.27174437501659,0.427146818727688,0.669272393730306,"vxreg2"
-0.0028529811717313,0.0232563036952694,-0.122675606971525,0.902363980757311,"vxreg3"
-0.0385440107684876,0.0183962852003649,-2.09520619781014,0.0361526665666376,"vxreg4"
2.10000000139741,0.0275312931131591,76.2768386056546,0,"shape"
