caused,causing,F_stat,p_value,significant_5pct
r_diff_green_corp,r_global_green,2.263,0.0267,True
r_diff_green_corp,r_climate_transition,1.673,0.1105,False
r_diff_green_corp,EPU_z,2.508,0.0142,True
r_diff_green_corp,CPU_z,0.513,0.8253,False
r_diff_green_corp,VIX_z,1.402,0.1996,False
r_diff_green_corp,delta_IG_OAS,0.686,0.6844,False
r_diff_green_corp,delta_10y,2.963,0.0042,True
r_global_green,r_diff_green_corp,2.168,0.0339,True
r_global_green,r_climate_transition,0.989,0.4373,False
r_global_green,EPU_z,2.596,0.0113,True
r_global_green,CPU_z,0.245,0.974,False
r_global_green,VIX_z,1.742,0.0944,False
r_global_green,delta_IG_OAS,1.371,0.2125,False
r_global_green,delta_10y,0.691,0.6797,False
r_climate_transition,r_diff_green_corp,1.541,0.1484,False
r_climate_transition,r_global_green,2.78,0.0069,True
r_climate_transition,EPU_z,2.625,0.0104,True
r_climate_transition,CPU_z,1.284,0.2536,False
r_climate_transition,VIX_z,0.434,0.8818,False
r_climate_transition,delta_IG_OAS,0.544,0.8012,False
r_climate_transition,delta_10y,1.788,0.085,False
EPU_z,r_diff_green_corp,1.893,0.0663,False
EPU_z,r_global_green,1.084,0.3701,False
EPU_z,r_climate_transition,1.823,0.0782,False
EPU_z,CPU_z,1.919,0.0624,False
EPU_z,VIX_z,14.324,0.0,True
EPU_z,delta_IG_OAS,3.137,0.0026,True
EPU_z,delta_10y,1.351,0.2215,False
CPU_z,r_diff_green_corp,0.996,0.432,False
CPU_z,r_global_green,0.383,0.9128,False
CPU_z,r_climate_transition,1.213,0.2915,False
CPU_z,EPU_z,0.581,0.7718,False
CPU_z,VIX_z,2.168,0.0339,True
CPU_z,delta_IG_OAS,0.394,0.9067,False
CPU_z,delta_10y,1.065,0.3829,False
VIX_z,r_diff_green_corp,1.006,0.4248,False
VIX_z,r_global_green,0.82,0.5708,False
VIX_z,r_climate_transition,1.073,0.3778,False
VIX_z,EPU_z,1.1,0.3596,False
VIX_z,CPU_z,1.603,0.1293,False
VIX_z,delta_IG_OAS,1.97,0.0551,False
VIX_z,delta_10y,1.887,0.0673,False
delta_IG_OAS,r_diff_green_corp,7.968,0.0,True
delta_IG_OAS,r_global_green,1.921,0.062,False
delta_IG_OAS,r_climate_transition,3.412,0.0012,True
delta_IG_OAS,EPU_z,9.675,0.0,True
delta_IG_OAS,CPU_z,0.434,0.8813,False
delta_IG_OAS,VIX_z,3.84,0.0004,True
delta_IG_OAS,delta_10y,6.63,0.0,True
delta_10y,r_diff_green_corp,2.108,0.0394,True
delta_10y,r_global_green,1.677,0.1096,False
delta_10y,r_climate_transition,1.681,0.1086,False
delta_10y,EPU_z,1.396,0.202,False
delta_10y,CPU_z,0.978,0.4455,False
delta_10y,VIX_z,0.3,0.9539,False
delta_10y,delta_IG_OAS,1.439,0.1844,False
