caused,causing,F_stat,p_value,significant_5pct
r_diff_hedged,r_SPGBI,6.445,0.0,True
r_diff_hedged,delta_IG_OAS,29.177,0.0,True
r_diff_hedged,VIX_z,10.549,0.0,True
r_diff_hedged,CPU_z,1.127,0.3411,False
r_diff_hedged,EPU_z,2.238,0.022,True
r_SPGBI,r_diff_hedged,9.209,0.0,True
r_SPGBI,delta_IG_OAS,1.536,0.139,False
r_SPGBI,VIX_z,4.715,0.0,True
r_SPGBI,CPU_z,0.342,0.95,False
r_SPGBI,EPU_z,1.637,0.1086,False
delta_IG_OAS,r_diff_hedged,48.28,0.0,True
delta_IG_OAS,r_SPGBI,4.268,0.0,True
delta_IG_OAS,VIX_z,23.042,0.0,True
delta_IG_OAS,CPU_z,0.348,0.9473,False
delta_IG_OAS,EPU_z,6.879,0.0,True
VIX_z,r_diff_hedged,10.099,0.0,True
VIX_z,r_SPGBI,4.337,0.0,True
VIX_z,delta_IG_OAS,11.904,0.0,True
VIX_z,CPU_z,0.987,0.4435,False
VIX_z,EPU_z,3.441,0.0006,True
CPU_z,r_diff_hedged,0.734,0.6617,False
CPU_z,r_SPGBI,0.996,0.4365,False
CPU_z,delta_IG_OAS,0.306,0.9642,False
CPU_z,VIX_z,0.701,0.6907,False
CPU_z,EPU_z,1.421,0.1819,False
EPU_z,r_diff_hedged,1.502,0.1505,False
EPU_z,r_SPGBI,0.402,0.9202,False
EPU_z,delta_IG_OAS,3.951,0.0001,True
EPU_z,VIX_z,5.984,0.0,True
EPU_z,CPU_z,1.602,0.1185,False
