Spec,Variable,Coef,SE_robust,t_stat,p_value
Rate_Sensitivity,delta_10y,4.037754,0.279306,14.456,0.0
Rate_Sensitivity,VIX_z,0.032701,0.13604,0.24,0.81
Rate_Sensitivity,Is_Utility,0.040245,0.125739,0.32,0.7489
Rate_Sensitivity,Util_x_delta10y,-0.455372,0.516452,-0.882,0.3779
Rate_Sensitivity,N,159.0,,,
Rate_Sensitivity,R2_adj,0.6297,,,
Volatility_Sensitivity,delta_10y,3.903706,0.233192,16.74,0.0
Volatility_Sensitivity,VIX_z,0.062338,0.170366,0.366,0.7144
Volatility_Sensitivity,Is_Utility,0.033345,0.138335,0.241,0.8095
Volatility_Sensitivity,Util_x_VIX,-0.089716,0.285119,-0.315,0.753
Volatility_Sensitivity,N,159.0,,,
Volatility_Sensitivity,R2_adj,0.6282,,,
Climate_Policy,delta_10y,4.045418,0.231647,17.464,0.0
Climate_Policy,VIX_z,-0.111695,0.133978,-0.834,0.4045
Climate_Policy,CPU_z,0.162024,0.06974,2.323,0.0202
Climate_Policy,Is_Utility,0.050587,0.167313,0.302,0.7624
Climate_Policy,Util_x_CPU,-0.00939,0.118266,-0.079,0.9367
Climate_Policy,N,159.0,,,
Climate_Policy,R2_adj,0.6404,,,
Climate_Event,delta_10y,3.926921,0.230407,17.043,0.0
Climate_Event,VIX_z,0.052106,0.146997,0.354,0.723
Climate_Event,Climate_Event_Window,-0.187936,0.162621,-1.156,0.2478
Climate_Event,Is_Utility,0.050723,0.141467,0.359,0.7199
Climate_Event,Util_x_ClimateEvt,-0.053419,0.271088,-0.197,0.8438
Climate_Event,N,159.0,,,
Climate_Event,R2_adj,0.6282,,,
Full_Utility_Interaction,delta_10y,4.17325,0.27728,15.051,0.0
Full_Utility_Interaction,VIX_z,-0.090698,0.184124,-0.493,0.6223
Full_Utility_Interaction,CPU_z,0.158895,0.076608,2.074,0.0381
Full_Utility_Interaction,Climate_Event_Window,-0.034199,0.19311,-0.177,0.8594
Full_Utility_Interaction,Is_Utility,0.052878,0.24599,0.215,0.8298
Full_Utility_Interaction,Util_x_delta10y,-0.444069,0.511856,-0.868,0.3856
Full_Utility_Interaction,Util_x_VIX,-0.043273,0.312025,-0.139,0.8897
Full_Utility_Interaction,Util_x_CPU,-0.015491,0.130499,-0.119,0.9055
Full_Utility_Interaction,Util_x_ClimateEvt,-0.011891,0.31446,-0.038,0.9698
Full_Utility_Interaction,N,159.0,,,
Full_Utility_Interaction,R2_adj,0.6328,,,
