instrument,date,price
I31572US,2014-01-31,101.257004
I31572US,2014-02-28,101.562698
I31572US,2014-03-31,101.475601
I31572US,2014-04-30,101.810799
I31572US,2014-05-30,102.513199
I31572US,2014-06-30,102.673698
I31572US,2014-07-31,102.748001
I31572US,2014-08-29,104.021599
I31572US,2014-09-30,103.413696
I31572US,2014-10-14,104.075439
I31572US,2014-10-15,104.543358
I31572US,2014-10-16,104.007362
I31572US,2014-10-17,103.962616
I31572US,2014-10-20,104.025658
I31572US,2014-10-21,104.000183
I31572US,2014-10-22,103.983742
I31572US,2014-10-23,103.829498
I31572US,2014-10-24,103.85891
I31572US,2014-10-27,103.947464
I31572US,2014-10-28,103.523209
I31572US,2014-10-29,103.425171
I31572US,2014-10-30,103.577286
I31572US,2014-10-31,103.528259
I31572US,2014-11-03,103.437119
I31572US,2014-11-04,103.594421
I31572US,2014-11-05,103.50708
I31572US,2014-11-06,103.458466
I31572US,2014-11-07,103.586884
I31572US,2014-11-10,103.494148
I31572US,2014-11-11,103.566025
I31572US,2014-11-12,103.641029
I31572US,2014-11-13,103.731873
I31572US,2014-11-14,103.801933
I31572US,2014-11-17,103.743919
I31572US,2014-11-18,103.701942
I31572US,2014-11-19,103.51046
I31572US,2014-11-20,103.672096
I31572US,2014-11-21,103.832108
I31572US,2014-11-24,103.845245
I31572US,2014-11-25,103.918076
I31572US,2014-11-26,104.015335
I31572US,2014-11-27,104.103355
I31572US,2014-11-28,104.159348
I31572US,2014-12-01,104.057358
I31572US,2014-12-02,103.857155
I31572US,2014-12-03,103.850441
I31572US,2014-12-04,103.849739
I31572US,2014-12-05,103.713799
I31572US,2014-12-08,103.948196
I31572US,2014-12-09,104.07811
I31572US,2014-12-10,104.195663
I31572US,2014-12-11,104.211411
I31572US,2014-12-12,104.49099
I31572US,2014-12-15,104.428406
I31572US,2014-12-16,104.485138
I31572US,2014-12-17,104.351799
I31572US,2014-12-18,104.213768
I31572US,2014-12-19,104.319565
I31572US,2014-12-22,104.362206
I31572US,2014-12-23,104.160103
I31572US,2014-12-24,104.156479
I31572US,2014-12-25,104.156479
I31572US,2014-12-26,104.183212
I31572US,2014-12-29,104.399902
I31572US,2014-12-30,104.466805
I31572US,2014-12-31,104.437401
I31572US,2015-01-02,104.635376
I31572US,2015-01-05,104.728806
I31572US,2015-01-06,105.026054
I31572US,2015-01-07,105.049103
I31572US,2015-01-08,104.865273
I31572US,2015-01-09,105.036758
I31572US,2015-01-12,105.164505
I31572US,2015-01-13,105.213814
I31572US,2015-01-14,105.51284
I31572US,2015-01-15,105.648521
I31572US,2015-01-16,105.575142
I31572US,2015-01-19,105.650902
I31572US,2015-01-20,105.648422
I31572US,2015-01-21,105.465294
I31572US,2015-01-22,105.568611
I31572US,2015-01-23,105.940689
I31572US,2015-01-26,105.807442
I31572US,2015-01-27,105.897362
I31572US,2015-01-28,106.11834
I31572US,2015-01-29,105.994354
I31572US,2015-01-30,106.325119
I31572US,2015-02-02,106.373863
I31572US,2015-02-03,106.124794
I31572US,2015-02-04,106.051392
I31572US,2015-02-05,105.98925
I31572US,2015-02-06,105.749893
I31572US,2015-02-09,105.807648
I31572US,2015-02-10,105.677467
I31572US,2015-02-11,105.757378
I31572US,2015-02-12,105.910767
I31572US,2015-02-13,105.726135
I31572US,2015-02-16,105.708229
I31572US,2015-02-17,105.408958
I31572US,2015-02-18,105.534164
I31572US,2015-02-19,105.481949
I31572US,2015-02-20,105.508942
I31572US,2015-02-23,105.684158
I31572US,2015-02-24,105.848976
I31572US,2015-02-25,105.786446
I31572US,2015-02-26,105.740501
I31572US,2015-02-27,105.680046
I31572US,2015-03-02,105.435699
I31572US,2015-03-03,105.31041
I31572US,2015-03-04,105.335236
I31572US,2015-03-05,105.362534
I31572US,2015-03-06,104.969391
I31572US,2015-03-09,105.284744
I31572US,2015-03-10,105.590851
I31572US,2015-03-11,105.716125
I31572US,2015-03-12,105.636971
I31572US,2015-03-13,105.624268
I31572US,2015-03-16,105.633049
I31572US,2015-03-17,105.636147
I31572US,2015-03-18,106.074875
I31572US,2015-03-19,106.022339
I31572US,2015-03-20,106.145821
I31572US,2015-03-23,106.062294
I31572US,2015-03-24,106.131073
I31572US,2015-03-25,106.079544
I31572US,2015-03-26,105.651085
I31572US,2015-03-27,105.849602
I31572US,2015-03-30,105.771889
I31572US,2015-03-31,105.906319
I31572US,2015-04-01,106.129845
I31572US,2015-04-02,106.003349
I31572US,2015-04-03,106.153923
I31572US,2015-04-06,106.012383
I31572US,2015-04-07,106.064217
I31572US,2015-04-08,106.135666
I31572US,2015-04-09,106.008621
I31572US,2015-04-10,105.992783
I31572US,2015-04-13,106.040749
I31572US,2015-04-14,106.124512
I31572US,2015-04-15,106.143143
I31572US,2015-04-16,106.144508
I31572US,2015-04-17,106.183037
I31572US,2015-04-20,106.047401
I31572US,2015-04-21,105.99173
I31572US,2015-04-22,105.665657
I31572US,2015-04-23,105.724846
I31572US,2015-04-24,105.794098
I31572US,2015-04-27,105.373703
I31572US,2015-04-28,105.24247
I31572US,2015-04-29,104.719521
I31572US,2015-04-30,104.557442
I31572US,2015-05-01,104.398315
I31572US,2015-05-04,104.318451
I31572US,2015-05-05,103.785652
I31572US,2015-05-06,103.461906
I31572US,2015-05-07,103.569458
I31572US,2015-05-08,103.90155
I31572US,2015-05-11,103.503677
I31572US,2015-05-12,103.269547
I31572US,2015-05-13,103.191406
I31572US,2015-05-14,103.25351
I31572US,2015-05-15,103.708466
I31572US,2015-05-18,103.486809
I31572US,2015-05-19,103.463547
I31572US,2015-05-20,103.398972
I31572US,2015-05-21,103.514709
I31572US,2015-05-22,103.486778
I31572US,2015-05-25,103.486908
I31572US,2015-05-26,103.768127
I31572US,2015-05-27,103.638222
I31572US,2015-05-28,103.69355
I31572US,2015-05-29,103.95816
I31572US,2015-06-01,103.791672
I31572US,2015-06-02,103.156845
I31572US,2015-06-03,102.540764
I31572US,2015-06-04,102.758614
I31572US,2015-06-05,102.500229
I31572US,2015-06-08,102.435242
I31572US,2015-06-09,102.092438
I31572US,2015-06-10,101.889717
I31572US,2015-06-11,102.289734
I31572US,2015-06-12,102.393105
I31572US,2015-06-15,102.392982
I31572US,2015-06-16,102.452202
I31572US,2015-06-17,102.431984
I31572US,2015-06-18,102.348923
I31572US,2015-06-19,102.613594
I31572US,2015-06-22,102.148819
I31572US,2015-06-23,102.089615
I31572US,2015-06-24,102.195824
I31572US,2015-06-25,102.105461
I31572US,2015-06-26,101.618248
I31572US,2015-06-29,101.945442
I31572US,2015-06-30,102.111542
I31572US,2015-07-01,101.857941
I31572US,2015-07-02,101.814804
I31572US,2015-07-03,102.004883
I31572US,2015-07-06,102.205994
I31572US,2015-07-07,102.643913
I31572US,2015-07-08,102.59417
I31572US,2015-07-09,102.331406
I31572US,2015-07-10,101.719917
I31572US,2015-07-13,101.73217
I31572US,2015-07-14,101.856834
I31572US,2015-07-15,102.094131
I31572US,2015-07-16,102.134171
I31572US,2015-07-17,102.316093
I31572US,2015-07-20,102.356377
I31572US,2015-07-21,102.392311
I31572US,2015-07-22,102.511124
I31572US,2015-07-23,102.59893
I31572US,2015-07-24,102.750687
I31572US,2015-07-27,102.85009
I31572US,2015-07-28,102.736832
I31572US,2015-07-29,102.635948
I31572US,2015-07-30,102.755226
I31572US,2015-07-31,102.930389
I31572US,2015-08-03,103.038483
I31572US,2015-08-04,102.932358
I31572US,2015-08-05,102.591141
I31572US,2015-08-06,102.726585
I31572US,2015-08-07,102.972946
I31572US,2015-08-10,102.761429
I31572US,2015-08-11,103.112762
I31572US,2015-08-12,103.183235
I31572US,2015-08-13,102.972122
I31572US,2015-08-14,102.876373
I31572US,2015-08-17,103.012733
I31572US,2015-08-18,102.866539
I31572US,2015-08-19,102.98278
I31572US,2015-08-20,103.195053
I31572US,2015-08-21,103.244469
I31572US,2015-08-24,103.335022
I31572US,2015-08-25,102.686203
I31572US,2015-08-26,102.694855
I31572US,2015-08-27,102.523338
I31572US,2015-08-28,102.51548
I31572US,2015-08-31,102.414421
I31572US,2015-09-01,102.364326
I31572US,2015-09-02,102.328697
I31572US,2015-09-03,102.521004
I31572US,2015-09-04,102.749474
I31572US,2015-09-07,102.748413
I31572US,2015-09-08,102.62384
I31572US,2015-09-09,102.605186
I31572US,2015-09-10,102.580399
I31572US,2015-09-11,102.726013
I31572US,2015-09-14,102.662201
I31572US,2015-09-15,102.234207
I31572US,2015-09-16,102.084595
I31572US,2015-09-17,102.081406
I31572US,2015-09-18,102.537781
I31572US,2015-09-21,102.324539
I31572US,2015-09-22,102.691223
I31572US,2015-09-23,102.597687
I31572US,2015-09-24,102.700691
I31572US,2015-09-25,102.40406
I31572US,2015-09-28,102.485001
I31572US,2015-09-29,102.517586
I31572US,2015-09-30,102.505859
I31572US,2015-10-01,102.619011
I31572US,2015-10-02,102.781174
I31572US,2015-10-05,102.52858
I31572US,2015-10-06,102.510178
I31572US,2015-10-07,102.462616
I31572US,2015-10-08,102.453026
I31572US,2015-10-09,102.376709
I31572US,2015-10-12,102.485695
I31572US,2015-10-13,102.523888
I31572US,2015-10-14,102.813507
I31572US,2015-10-15,102.709908
I31572US,2015-10-16,102.739243
I31572US,2015-10-19,102.675743
I31572US,2015-10-20,102.449448
I31572US,2015-10-21,102.691246
I31572US,2015-10-22,102.915771
I31572US,2015-10-23,102.850105
I31572US,2015-10-26,102.979698
I31572US,2015-10-27,102.996918
I31572US,2015-10-28,102.917297
I31572US,2015-10-29,102.388405
I31572US,2015-10-30,102.413315
I31572US,2015-11-02,102.219116
I31572US,2015-11-03,102.154747
I31572US,2015-11-04,102.082672
I31572US,2015-11-05,102.11544
I31572US,2015-11-06,101.733948
I31572US,2015-11-09,101.786034
I31572US,2015-11-10,101.948891
I31572US,2015-11-11,102.000084
I31572US,2015-11-12,101.980156
I31572US,2015-11-13,102.138779
I31572US,2015-11-16,102.222008
I31572US,2015-11-17,102.25573
I31572US,2015-11-18,102.336838
I31572US,2015-11-19,102.444031
I31572US,2015-11-20,102.468071
I31572US,2015-11-23,102.392471
I31572US,2015-11-24,102.453209
I31572US,2015-11-25,102.551117
I31572US,2015-11-26,102.574577
I31572US,2015-11-27,102.374084
I31572US,2015-11-30,102.312798
I31572US,2015-12-01,102.479218
I31572US,2015-12-02,102.464241
I31572US,2015-12-03,101.730057
I31572US,2015-12-04,101.686737
I31572US,2015-12-07,102.026047
I31572US,2015-12-08,102.032272
I31572US,2015-12-09,102.013039
I31572US,2015-12-10,102.017929
I31572US,2015-12-11,102.268806
I31572US,2015-12-14,101.992561
I31572US,2015-12-15,101.700493
I31572US,2015-12-16,101.61335
I31572US,2015-12-17,101.876892
I31572US,2015-12-18,102.034927
I31572US,2015-12-21,102.0326
I31572US,2015-12-22,101.803276
I31572US,2015-12-23,101.648491
I31572US,2015-12-24,101.69297
I31572US,2015-12-25,101.69297
I31572US,2015-12-28,101.627319
I31572US,2015-12-29,101.493988
I31572US,2015-12-30,101.520142
I31572US,2015-12-31,101.565201
I31572US,2016-01-04,101.721123
I31572US,2016-01-05,101.757996
I31572US,2016-01-06,101.997154
I31572US,2016-01-07,101.987679
I31572US,2016-01-08,102.115211
I31572US,2016-01-11,102.025742
I31572US,2016-01-12,102.110886
I31572US,2016-01-13,102.23349
I31572US,2016-01-14,102.126083
I31572US,2016-01-15,102.358307
I31572US,2016-01-18,102.296562
I31572US,2016-01-19,102.241585
I31572US,2016-01-20,102.397049
I31572US,2016-01-21,102.43428
I31572US,2016-01-22,102.344704
I31572US,2016-01-25,102.403297
I31572US,2016-01-26,102.48716
I31572US,2016-01-27,102.484634
I31572US,2016-01-28,102.568565
I31572US,2016-01-29,102.898628
I31572US,2016-02-01,102.754044
I31572US,2016-02-02,103.020691
I31572US,2016-02-03,103.111839
I31572US,2016-02-04,103.04924
I31572US,2016-02-05,103.056732
I31572US,2016-02-08,103.394958
I31572US,2016-02-09,103.289627
I31572US,2016-02-10,103.308113
I31572US,2016-02-11,103.498253
I31572US,2016-02-12,103.102028
I31572US,2016-02-15,103.134781
I31572US,2016-02-16,102.998032
I31572US,2016-02-17,102.895927
I31572US,2016-02-18,103.143379
I31572US,2016-02-19,103.203697
I31572US,2016-02-22,103.241318
I31572US,2016-02-23,103.245155
I31572US,2016-02-24,103.359558
I31572US,2016-02-25,103.438087
I31572US,2016-02-26,103.264984
I31572US,2016-02-29,103.436974
I31572US,2016-03-01,103.192558
I31572US,2016-03-02,103.043518
I31572US,2016-03-03,103.1586
I31572US,2016-03-04,103.005135
I31572US,2016-03-07,102.976906
I31572US,2016-03-08,103.234718
I31572US,2016-03-09,102.961655
I31572US,2016-03-10,102.757248
I31572US,2016-03-11,102.854111
I31572US,2016-03-14,102.953491
I31572US,2016-03-15,102.863358
I31572US,2016-03-16,103.018585
